idade,estado_civil,dia_da_semana,duracao,qtd_contatos_campanha,qtd_contatos_total,resultado,outlier
56,casado,seg,261,1,0,nao,0
57,casado,seg,149,1,0,nao,0
37,casado,seg,226,1,0,nao,0
40,casado,seg,151,1,0,nao,0
56,casado,seg,307,1,0,nao,0
45,casado,seg,198,1,0,nao,0
59,casado,seg,139,1,0,nao,0
41,casado,seg,217,1,0,nao,0
24,solteiro,seg,380,1,0,nao,0
25,solteiro,seg,50,1,0,nao,0
41,casado,seg,55,1,0,nao,0
25,solteiro,seg,222,1,0,nao,0
29,solteiro,seg,137,1,0,nao,0
57,divorciado,seg,293,1,0,nao,0
35,casado,seg,146,1,0,nao,0
54,casado,seg,174,1,0,nao,0
35,casado,seg,312,1,0,nao,0
46,casado,seg,440,1,0,nao,0
50,casado,seg,353,1,0,nao,0
39,solteiro,seg,195,1,0,nao,0
30,casado,seg,38,1,0,nao,0
55,casado,seg,262,1,0,nao,0
55,solteiro,seg,342,1,0,nao,0
41,solteiro,seg,181,1,0,nao,0
37,casado,seg,172,1,0,nao,0
35,casado,seg,99,1,0,nao,0
59,casado,seg,93,1,0,nao,0
39,casado,seg,233,1,0,nao,0
54,solteiro,seg,255,2,0,nao,0
55,casado,seg,362,1,0,nao,0
46,casado,seg,348,1,0,nao,0
59,casado,seg,386,1,0,nao,0
49,casado,seg,73,1,0,nao,0
54,casado,seg,230,1,0,nao,0
54,divorciado,seg,208,1,0,nao,0
55,casado,seg,336,1,0,nao,0
34,casado,seg,365,1,0,nao,0
52,casado,seg,1666,1,0,nao,1
41,casado,seg,577,1,0,nao,0
56,casado,seg,137,1,0,nao,0
58,,seg,366,1,0,nao,0
32,casado,seg,314,1,0,nao,0
38,solteiro,seg,160,1,0,nao,0
57,casado,seg,212,1,0,nao,0
44,casado,seg,188,1,0,nao,0
42,solteiro,seg,22,1,0,nao,0
57,casado,seg,616,1,0,nao,1
40,casado,seg,178,1,0,nao,0
35,casado,seg,355,1,0,nao,0
45,casado,seg,225,2,0,nao,0
54,casado,seg,160,1,0,nao,0
39,casado,seg,266,1,0,nao,0
60,casado,seg,253,1,0,nao,0
53,solteiro,seg,179,1,0,nao,0
55,casado,seg,269,2,0,nao,0
55,casado,seg,135,1,0,nao,0
50,casado,seg,161,1,0,nao,0
45,casado,seg,787,1,0,nao,1
55,casado,seg,145,1,0,nao,0
25,solteiro,seg,174,1,0,nao,0
47,casado,seg,449,1,0,nao,0
51,casado,seg,812,1,0,nao,1
42,casado,seg,164,1,0,nao,0
42,casado,seg,366,1,0,nao,0
48,casado,seg,357,1,0,nao,0
37,casado,seg,232,1,0,nao,0
44,solteiro,seg,91,1,0,nao,0
33,casado,seg,273,1,0,nao,0
56,casado,seg,158,2,0,nao,0
44,solteiro,seg,177,1,0,nao,0
41,casado,seg,200,1,0,nao,0
44,divorciado,seg,172,1,0,nao,0
47,casado,seg,176,1,0,nao,0
57,casado,seg,211,1,0,nao,0
37,casado,seg,214,1,0,nao,0
41,divorciado,seg,1575,1,0,sim,1
