Country,Life expectancy , BMI 
Afghanistan,65,19.1
Afghanistan,59.9,18.6
Afghanistan,59.9,18.1
Afghanistan,59.5,17.6
Afghanistan,59.2,17.2
Afghanistan,58.8,16.7
Afghanistan,58.6,16.2
Afghanistan,58.1,15.7
Afghanistan,57.5,15.2
Afghanistan,57.3,14.7
Afghanistan,57.3,14.2
Afghanistan,57,13.8
Afghanistan,56.7,13.4
Afghanistan,56.2,13
Afghanistan,55.3,12.6
Afghanistan,54.8,12.2
Albania,77.8,58
Albania,77.5,57.2
Albania,77.2,56.5
Albania,76.9,55.8
Albania,76.6,55.1
Albania,76.2,54.3
Albania,76.1,53.5
Albania,75.3,52.6
Albania,75.9,51.7
Albania,74.2,5.8
Albania,73.5,49.9
Albania,73,48.9
Albania,72.8,47.9
Albania,73.3,46.9
Albania,73.6,46
Albania,72.6,45
Algeria,75.6,59.5
Algeria,75.4,58.4
Algeria,75.3,57.2
Algeria,75.1,56.1
Algeria,74.9,55
Algeria,74.7,53.9
Algeria,74.4,52.8
Algeria,74.1,51.8
Algeria,73.8,5.8
Algeria,73.4,49.8
Algeria,72.9,48.9
Algeria,72.3,47.9
Algeria,71.7,47
Algeria,71.6,46.1
Algeria,71.4,45.3
Algeria,71.3,44.4
Angola,52.4,23.3
Angola,51.7,22.7
Angola,51.1,22.1
Angola,56,21.5
Angola,51,21
Angola,49.6,2.4
Angola,49.1,19.8
Angola,48.7,19.3
Angola,48.2,18.8
Angola,47.7,18.2
Angola,47.4,17.7
Angola,47.1,17.2
Angola,46.8,16.8
Angola,46.5,16.3
Angola,45.7,15.8
Angola,45.3,15.4
Antigua and Barbuda,76.4,47.7
Antigua and Barbuda,76.2,47
Antigua and Barbuda,76.1,46.4
Antigua and Barbuda,75.9,45.7
Antigua and Barbuda,75.7,45.1
Antigua and Barbuda,75.6,44.4
Antigua and Barbuda,75.4,43.8
Antigua and Barbuda,75.2,43.2
Antigua and Barbuda,75,42.6
Antigua and Barbuda,74.8,42
Antigua and Barbuda,74.6,41.4
Antigua and Barbuda,74.4,4.8
Antigua and Barbuda,74.2,4.1
Antigua and Barbuda,74,39.5
Antigua and Barbuda,73.8,38.9
Antigua and Barbuda,73.6,38.2
Argentina,76.3,62.8
Argentina,76.2,62.2
Argentina,76,61.6
Argentina,75.9,61
Argentina,75.7,6.4
Argentina,75.5,59.8
Argentina,75.6,59.2
Argentina,75.4,58.6
Argentina,74.8,58
Argentina,75.2,57.5
Argentina,74.9,56.9
Argentina,74.7,56.3
Argentina,74.1,55.7
Argentina,74.1,55.1
Argentina,74,54.6
Argentina,74.1,54
Armenia,74.8,54.9
Armenia,74.6,54.1
Armenia,74.4,53.3
Armenia,74.4,52.6
Armenia,73.9,51.9
Armenia,73.5,51.2
Armenia,73.3,5.7
Armenia,73.2,5.1
Armenia,73.5,49.7
Armenia,72.9,49.2
Armenia,73,48.8
Armenia,73,48.4
Armenia,72.7,48.1
Armenia,72.6,47.8
Armenia,72.6,47.4
Armenia,72,47.1
Australia,82.8,66.6
Australia,82.7,66.1
Australia,82.5,65.5
Australia,82.3,65
Australia,82,64.4
Australia,81.9,63.9
Australia,81.7,63.4
Australia,81.3,62.9
Australia,81.3,62.5
Australia,81.2,62
Australia,81,61.5
Australia,86,6.9
Australia,83,6.3
Australia,79.9,59.6
Australia,79.9,59
Australia,79.5,58.2
Austria,81.5,57.6
Austria,81.4,57.1
Austria,81.1,56.6
Austria,88,56.1
Austria,88,55.7
Austria,84,55.2
Austria,82,54.7
Austria,84,54.2
Austria,81,53.7
Austria,79.8,53.2
Austria,79.4,52.7
Austria,79.3,52.2
Austria,78.8,51.7
Austria,78.7,51.2
Austria,78.6,5.6
Austria,78.1,5.1
Azerbaijan,72.7,52.5
Azerbaijan,72.5,51.5
Azerbaijan,72.2,5.6
Azerbaijan,71.9,49.7
Azerbaijan,71.6,48.8
Azerbaijan,71.1,48
Azerbaijan,78,47.3
Azerbaijan,73,46.6
Azerbaijan,73,45.9
Azerbaijan,69.2,45.3
Azerbaijan,68.4,44.7
Azerbaijan,68.4,44.2
Azerbaijan,67.8,43.6
Azerbaijan,67.8,43.1
Azerbaijan,67.5,42.6
Azerbaijan,66.6,42.1
Bahamas,76.1,64.5
Bahamas,75.4,63.8
Bahamas,74.8,63.2
Bahamas,74.9,62.6
Bahamas,75,62
Bahamas,75,61.3
Bahamas,74.6,6.7
Bahamas,74.5,6.1
Bahamas,74.4,59.4
Bahamas,74.2,58.7
Bahamas,74.1,58.1
Bahamas,73.8,57.4
Bahamas,73.2,56.7
Bahamas,73.1,56
Bahamas,72.9,55.2
Bahamas,72.6,54.4
Bahrain,76.9,63.6
Bahrain,76.8,62.9
Bahrain,76.7,62.2
Bahrain,76.5,61.5
Bahrain,76.1,6.8
Bahrain,76.1,6.1
Bahrain,76,59.3
Bahrain,75.8,58.5
Bahrain,75.6,57.6
Bahrain,75.5,56.8
Bahrain,75.3,56.1
Bahrain,75.2,55.6
Bahrain,75,55.2
Bahrain,74.9,55
Bahrain,74.7,54.8
Bahrain,74.5,54.5
Bangladesh,71.8,18.3
Bangladesh,71.4,17.7
Bangladesh,71,17
Bangladesh,77,16.4
Bangladesh,73,15.8
Bangladesh,69.9,15.2
Bangladesh,69.5,14.6
Bangladesh,69.1,14
Bangladesh,68.6,13.5
Bangladesh,68.2,13
Bangladesh,67.8,12.5
Bangladesh,67.3,12
Bangladesh,66.8,11.6
Bangladesh,66.3,11.2
Bangladesh,65.8,1.8
Bangladesh,65.3,1.4
Barbados,75.5,54.5
Barbados,75.4,53.7
Barbados,75.2,53
Barbados,75.1,52.2
Barbados,74.9,51.4
Barbados,74.7,5.7
Barbados,74.6,49.9
Barbados,74.4,49.2
Barbados,74.2,48.4
Barbados,74.1,47.7
Barbados,73.9,46.9
Barbados,73.8,46.2
Barbados,73.7,45.4
Barbados,73.5,44.6
Barbados,73.4,43.8
Barbados,73.3,43
Belarus,72.3,62.3
Belarus,72,61.7
Belarus,71.7,61.1
Belarus,71.9,6.5
Belarus,72,59.9
Belarus,73,59.3
Belarus,70,58.7
Belarus,70,58.2
Belarus,69.8,57.7
Belarus,68.9,57.2
Belarus,68.1,56.7
Belarus,68.2,56.2
Belarus,67.7,55.8
Belarus,67.2,55.3
Belarus,67.7,54.9
Belarus,68,54.4
Belgium,81.1,63.7
Belgium,89,63.4
Belgium,87,63
Belgium,83,62.6
Belgium,83,62.3
Belgium,80,61.9
Belgium,79.8,61.6
Belgium,79.5,61.3
Belgium,79.5,6.9
Belgium,79.4,6.6
Belgium,78.9,6.2
Belgium,78.8,59.8
Belgium,78.3,59.4
Belgium,78,59
Belgium,78,58.5
Belgium,77.6,58.1
Belize,71,5.9
Belize,70,5.1
Belize,69.8,49.3
Belize,69.4,48.5
Belize,69.4,47.8
Belize,69.5,47
Belize,69.5,46.3
Belize,69.6,45.7
Belize,69.6,45
Belize,69.4,44.4
Belize,69,43.8
Belize,68.7,43.2
Belize,68.4,42.6
Belize,68.5,42
Belize,68.2,41.4
Belize,68.3,4.8
Benin,60,25.7
Benin,59.7,25.2
Benin,59.5,24.6
Benin,59.3,24.1
Benin,59.1,23.5
Benin,58.7,23
Benin,58.4,22.5
Benin,57.6,22
Benin,57.1,21.5
Benin,56.8,21
Benin,56.5,2.5
Benin,56.1,2.1
Benin,55.8,19.7
Benin,55.6,19.2
Benin,55.5,18.8
Benin,55.4,18.4
Bhutan,69.8,24.5
Bhutan,69.4,23.6
Bhutan,69.1,22.7
Bhutan,68.7,21.9
Bhutan,68.3,21.1
Bhutan,67.9,2.3
Bhutan,67.4,19.5
Bhutan,67,18.8
Bhutan,66.5,18
Bhutan,65.8,17.4
Bhutan,65,16.7
Bhutan,64.2,16.1
Bhutan,63.3,15.5
Bhutan,62.5,14.9
Bhutan,61.7,14.4
Bhutan,62,13.9
Bolivia (Plurinational State of),77,52.6
Bolivia (Plurinational State of),74,51.9
Bolivia (Plurinational State of),71,51.2
Bolivia (Plurinational State of),69.8,5.6
Bolivia (Plurinational State of),69.3,49.9
Bolivia (Plurinational State of),68.7,49.3
Bolivia (Plurinational State of),68,48.6
Bolivia (Plurinational State of),67.4,48
Bolivia (Plurinational State of),66.8,47.3
Bolivia (Plurinational State of),66.2,46.7
Bolivia (Plurinational State of),65.7,46
Bolivia (Plurinational State of),65.1,45.4
Bolivia (Plurinational State of),64.5,44.7
Bolivia (Plurinational State of),63.9,44
Bolivia (Plurinational State of),63.3,43.3
Bolivia (Plurinational State of),62.6,42.6
Bosnia and Herzegovina,77.4,55.8
Bosnia and Herzegovina,77.2,55.3
Bosnia and Herzegovina,77,54.7
Bosnia and Herzegovina,76.8,54.2
Bosnia and Herzegovina,76.9,53.7
Bosnia and Herzegovina,76.4,53.1
Bosnia and Herzegovina,76.1,52.6
Bosnia and Herzegovina,76,52.1
Bosnia and Herzegovina,75.4,51.5
Bosnia and Herzegovina,75.7,51
Bosnia and Herzegovina,75,5.5
Bosnia and Herzegovina,75.5,49.9
Bosnia and Herzegovina,75.2,49.4
Bosnia and Herzegovina,75.4,48.8
Bosnia and Herzegovina,74.9,48.2
Bosnia and Herzegovina,74.6,47.6
Botswana,65.7,37.9
Botswana,65.1,37.3
Botswana,64.2,36.8
Botswana,63.4,36.2
Botswana,62.2,35.7
Botswana,61.1,35.2
Botswana,59.2,34.7
Botswana,57.5,34.2
Botswana,56.9,33.7
Botswana,54.8,33.2
Botswana,51.7,32.7
Botswana,48.1,32.2
Botswana,46.4,31.6
Botswana,46,31.1
Botswana,46.7,3.5
Botswana,47.8,29.9
Brazil,75,56.1
Brazil,74.8,55.3
Brazil,74.7,54.5
Brazil,74.5,53.6
Brazil,74.1,52.8
